hostId,cpuCapacity,freeCpu,memCapacity,freeMem
418547,0.5,0.12566,0.4995,0.002574
418548,0.5,6.179E-4,0.4995,0.017716
418549,0.5,5.269E-4,0.4995,0.012172
418551,0.5,0.001772,0.4995,0.165327
418552,0.5,2.2E-5,0.4995,0.0903
418559,0.5,0.0,0.4995,0.27764
418560,0.5,0.092382,0.4995,8.18E-4
418561,0.5,0.00549,0.4995,0.223603
418562,0.5,1.0E-5,0.4995,0.245143
418564,0.5,2.3E-4,0.4995,0.214812
418565,0.5,0.00624,0.4995,0.070055
418566,0.5,0.001176,0.4995,0.003102
418570,0.5,0.0018062,0.4995,6.11E-4
418572,0.5,0.00928,0.4995,0.28026
418574,0.5,4.22E-5,0.4995,0.033272
418581,0.5,0.11111,0.4995,0.001719
418583,0.5,0.0,0.4995,0.235821
418584,0.5,1.0E-5,0.4995,0.1726
418585,0.5,0.00177,0.4995,0.063557
418586,0.5,0.002132,0.4995,0.151943
418588,0.5,3.653E-4,0.4995,0.001284
418589,0.5,0.006272,0.4995,0.274073
418689,0.5,6.1E-4,0.4995,0.231863
418690,0.5,1.5E-4,0.4995,0.29808
418691,0.5,7.12E-4,0.4995,0.071613
418695,0.5,0.0,0.4995,0.006787
418697,0.5,0.0,0.4995,0.22818
418708,0.5,0.00249,0.4995,0.187557
421565,0.5,0.00628,0.4995,0.164171
421569,0.5,0.00628,0.4995,4.43E-4
421571,0.5,0.00305,0.4995,0.10897
421574,0.5,0.0043179,0.4995,0.008532
421578,0.5,5.0E-5,0.4995,0.028633
421587,0.5,0.00555,0.4995,0.142271
421592,0.5,0.0017,0.4995,0.38817
421593,0.5,0.0017,0.4995,0.14291
422053,0.5,0.0056,0.4995,0.080066
422055,0.5,0.00615,0.4995,0.327868
422069,0.5,0.00424,0.4995,0.08537
422080,0.5,5.8E-4,0.4995,0.01968
422082,0.5,5.3E-6,0.4995,0.016485
422084,0.5,5.812E-4,0.4995,0.017708
422087,0.5,0.0017,0.4995,0.38817
422090,0.5,0.0024353,0.4995,0.350169
422091,0.5,0.00804,0.4995,0.246451
450799,0.5,0.00616,0.4995,0.332653
485231,0.5,0.0036006,0.4995,8.67E-4
485241,0.5,0.001849,0.4995,0.176706
486699,0.5,0.0,0.4995,0.29197
486702,0.5,0.003122,0.4995,0.194411
486703,0.5,0.012672,0.4995,0.001241
486704,0.5,3.1E-5,0.4995,0.235288
486707,0.5,0.003752,0.4995,0.001633
486711,0.5,0.003112,0.4995,0.188923
486805,0.5,6.152E-4,0.4995,0.00952
486816,0.5,0.0027126,0.4995,6.89E-4
486820,0.5,0.0056553,0.4995,0.183876
486821,0.5,4.6E-4,0.4995,0.033589
486826,0.5,0.0018563,0.4995,0.003675
486827,0.5,0.0,0.4995,0.27208
486956,0.5,0.001771,0.4995,0.138923
486957,0.5,0.0050626,0.4995,2.11E-4
486958,0.5,4.62E-4,0.4995,0.018353
486959,0.5,0.05632,0.4995,1.9E-4
486961,0.5,0.00435,0.4995,0.34734
487295,0.5,0.01494,0.4995,5.99E-4
487385,0.5,4.62E-4,0.4995,0.007535
487386,0.5,0.11111,0.4995,0.001719
487390,0.5,0.00623,0.4995,0.251874
487391,0.5,6.0E-4,0.4995,0.044751
487397,0.5,0.00265,0.4995,0.221683
487399,0.5,7.7E-4,0.4995,0.225752
487402,0.5,0.11877,0.4995,0.005674
487403,0.5,1.4E-5,0.4995,0.247755
487404,0.5,0.00621,0.4995,0.235263
487407,0.5,0.00928,0.4995,0.17041
487411,0.5,1.0E-5,0.4995,0.185743
487414,0.5,6.2E-4,0.4995,0.245353
487535,0.5,2.59E-5,0.4995,0.037063
487538,0.5,0.00317,0.4995,0.197926
487541,0.5,0.002022,0.4995,0.144054
487545,0.5,0.00316,0.4995,0.322333
487547,0.5,0.011852,0.4995,4.78E-4
487548,0.5,0.11111,0.4995,0.001719
495767,0.5,0.00136,0.4995,0.179841
514995,0.5,0.0012559,0.4995,0.002134
514996,0.5,0.0,0.4995,0.07202
567335,0.5,0.00552,0.4995,0.210192
567336,0.5,3.4E-4,0.4995,0.130192
567341,0.5,4.391E-4,0.4995,0.0042213
567345,0.5,6.3E-4,0.4995,0.18423
567348,0.5,5.905E-4,0.4995,0.019113
567376,0.5,0.0018306,0.4995,2.57E-4
567377,0.5,0.0033072,0.4995,0.040132
567382,0.5,0.00727,0.4995,0.173135
567383,0.5,0.0,0.4995,0.22229
567596,0.5,0.001761,0.4995,0.142974
567597,0.5,0.04061,0.4995,0.001731
567599,0.5,0.00689,0.4995,0.16051
567601,0.5,1.0E-5,0.4995,0.384189
567604,0.5,0.00896,0.4995,0.202572
567608,0.5,0.00623,0.4995,0.23429
567610,0.5,0.02676,0.4995,3.01E-4
567611,0.5,5.106E-4,0.4995,0.027395
567616,0.5,0.054892,0.4995,0.002433
567617,0.5,1.0E-5,0.4995,0.127821
567618,0.5,9.69E-5,0.4995,0.035811
567624,0.5,4.39E-5,0.4995,0.018563
567626,0.5,0.00628,0.4995,4.5E-4
567748,0.5,1.0E-5,0.4995,0.167721
567752,0.5,6.026E-4,0.4995,0.030377
567756,0.5,0.11111,0.4995,0.001719
567757,0.5,0.00435,0.4995,0.34734
567763,0.5,0.00309,0.4995,0.066903
567764,0.5,3.559E-4,0.4995,2.82E-4
567769,0.5,5.733E-4,0.4995,0.076075
567777,0.5,0.001871,0.4995,0.001483
567780,0.5,0.0069,0.4995,0.0028536
567782,0.5,0.00374,0.4995,0.10668
567783,0.5,0.003052,0.4995,0.141824
567790,0.5,0.0017,0.4995,0.38817
567902,0.5,1.9E-4,0.4995,0.001882
567907,0.5,0.11111,0.4995,9.41E-4
567909,0.5,0.00438,0.4995,0.330631
567910,0.5,1.0E-6,0.4995,0.100781
567917,0.5,4.0E-5,0.4995,0.202572
567920,0.5,3.1E-5,0.4995,0.14651
567924,0.5,0.0017112,0.4995,0.006419
567929,0.5,0.00249,0.4995,0.09155
567930,0.5,0.0018073,0.4995,0.16608
567933,0.5,0.0049806,0.4995,0.016074
568912,0.5,0.006233,0.4995,0.236497
595665,0.5,0.02231,0.4995,0.00142
595666,0.5,0.00499,0.4995,0.066195
595672,0.5,0.0,0.4995,0.0876
595677,0.5,0.0017,0.4995,0.38817
599601,0.5,3.7E-4,0.4995,0.07945
599604,0.5,0.0,0.4995,0.27011
599605,0.5,0.00257,0.4995,0.18676
599607,0.5,0.0031,0.4995,0.083578
599610,0.5,0.0048253,0.4995,0.003236
599614,0.5,0.00435,0.4995,0.35137
599619,0.5,0.0017,0.4995,0.38817
599620,0.5,0.00614,0.4995,0.08578
599621,0.5,0.001773,0.4995,0.262371
599623,0.5,6.085E-4,0.4995,0.035963
599624,0.5,0.0068706,0.4995,0.00382
599626,0.5,0.001712,0.4995,0.077526
599632,0.5,7.179E-4,0.4995,5.24E-4
599637,0.5,0.0,0.4995,0.30266
599756,0.5,0.06552,0.4995,0.002683
599757,0.5,1.2E-5,0.4995,0.29207
599758,0.5,0.05172,0.4995,0.002342
599760,0.5,0.01229,0.4995,0.001671
599763,0.5,0.00702,0.4995,0.238332
599764,0.5,0.00569,0.4995,4.09E-4
599765,0.5,0.00308,0.4995,0.304102
599770,0.5,0.00311,0.4995,0.3078
599788,0.5,0.00131,0.4995,0.00329
599792,0.5,0.00435,0.4995,0.34255
599793,0.5,0.0017,0.4995,0.38817
599794,0.5,0.0025153,0.4995,0.062139
602943,0.5,1.93E-5,0.4995,0.001867
602945,0.5,0.00379,0.4995,0.11165
602946,0.5,6.632E-4,0.4995,0.016126
602948,0.5,0.11111,0.4995,0.001719
602949,0.5,6.035E-4,0.4995,0.017274
602951,0.5,0.00378,0.4995,0.237981
602953,0.5,5.03E-4,0.4995,0.042187
602954,0.5,0.0012913,0.4995,0.00172
602955,0.5,0.07501,0.4995,0.002713
602962,0.5,0.00317,0.4995,0.10336
602971,0.5,0.0,0.4995,0.26616
602972,0.5,0.00193,0.4995,0.002569
602973,0.5,6.072E-4,0.4995,0.007131
602974,0.5,0.0087783,0.4995,0.27169
602978,0.5,0.00309,0.4995,0.20049
602979,0.5,0.0,0.4995,0.3282
602980,0.5,0.03009,0.4995,0.001773
602981,0.5,0.0038253,0.4995,0.117062
602982,0.5,5.02E-4,0.4995,0.007277
602985,0.5,0.009445,0.4995,0.001196
602987,0.5,5.806E-4,0.4995,0.006902
603107,0.5,5.812E-4,0.4995,0.002348
