hostId,cpuCapacity,freeCpu,memCapacity,freeMem
418547,0.5,0.1157,0.4995,0.03489
418548,0.5,0.10739,0.4995,0.05114
418549,0.5,0.041782,0.4995,0.028937
418551,0.5,0.19235,0.4995,0.0185
418552,0.5,0.1263,0.4995,0.340421
418559,0.5,0.1318,0.4995,0.386351
418560,0.5,0.07127,0.4995,0.207594
418561,0.5,0.03111,0.4995,0.067193
418562,0.5,0.05505,0.4995,0.1096
418564,0.5,0.01737,0.4995,0.01091
418565,0.5,0.087443,0.4995,0.21741
418566,0.5,0.19235,0.4995,0.0185
418570,0.5,0.1243,0.4995,0.36936
418572,0.5,0.125,0.4995,0.41198
418574,0.5,0.19235,0.4995,0.0185
418581,0.5,0.09375,0.4995,0.27029
418583,0.5,0.09375,0.4995,0.19744
418584,0.5,0.03293,0.4995,0.108318
418585,0.5,0.125,0.4995,0.34685
418586,0.5,0.146852,0.4995,0.397572
418588,0.5,0.125,0.4995,0.354031
418589,0.5,0.0719,0.4995,0.12411
418689,0.5,0.125,0.4995,0.34007
418690,0.5,0.05435,0.4995,0.13571
418691,0.5,0.05435,0.4995,0.157442
418695,0.5,0.19235,0.4995,0.0185
418697,0.5,0.049102,0.4995,0.05714
418708,0.5,0.125,0.4995,0.354031
421565,0.5,0.19235,0.4995,0.0185
421569,0.5,0.0644173,0.4995,0.098942
421571,0.5,0.125,0.4995,0.332713
421574,0.5,0.12491,0.4995,0.06528
421578,0.5,0.09436,0.4995,0.28344
421587,0.5,0.042602,0.4995,0.141849
421592,0.5,0.10739,0.4995,0.05114
421593,0.5,0.06362,0.4995,0.018391
422053,0.5,0.0900353,0.4995,0.212671
422055,0.5,0.1119293,0.4995,0.309461
422069,0.5,0.046784,0.4995,0.099206
422080,0.5,0.04925,0.4995,0.19344
422082,0.5,0.068762,0.4995,0.12002
422084,0.5,0.125637,0.4995,0.070924
422087,0.5,0.19235,0.4995,0.0185
422090,0.5,0.08435,0.4995,0.20149
422091,0.5,0.10739,0.4995,0.0457
450799,0.5,0.101255,0.4995,0.229987
485231,0.5,0.125,0.4995,0.3265
485241,0.5,0.19235,0.4995,0.0185
486699,0.5,0.02191,0.4995,0.069222
486702,0.5,0.05939,0.4995,0.03372
