tid,jid,cpuReq,memReq,priority
2560,6282507089,0.0625,0.03961,0
2561,6282507089,0.0625,0.03961,0
2562,6282507089,0.0625,0.03961,0
2563,6282507089,0.0625,0.03961,0
2564,6282507089,0.0625,0.03961,0
2565,6282507089,0.0625,0.03961,0
2566,6282507089,0.0625,0.03961,0
2567,6282507089,0.0625,0.03961,0
2568,6282507089,0.0625,0.03961,0
2569,6282507089,0.0625,0.03961,0
2570,6282507089,0.0625,0.03961,0
2571,6282507089,0.0625,0.03961,0
2572,6282507089,0.0625,0.03961,0
2573,6282507089,0.0625,0.03961,0
2574,6282507089,0.0625,0.03961,0
2575,6282507089,0.0625,0.03961,0
2576,6282507089,0.0625,0.03961,0
2577,6282507089,0.0625,0.03961,0
2578,6282507089,0.0625,0.03961,0
2579,6282507089,0.0625,0.03961,0
2580,6282507089,0.0625,0.03961,0
2581,6282507089,0.0625,0.03961,0
2582,6282507089,0.0625,0.03961,0
2583,6282507089,0.0625,0.03961,0
2584,6282507089,0.0625,0.03961,0
2585,6282507089,0.0625,0.03961,0
2586,6282507089,0.0625,0.03961,0
2587,6282507089,0.0625,0.03961,0
2588,6282507089,0.0625,0.03961,0
2589,6282507089,0.0625,0.03961,0
2590,6282507089,0.0625,0.03961,0
2591,6282507089,0.0625,0.03961,0
2592,6282507089,0.0625,0.03961,0
2593,6282507089,0.0625,0.03961,0
2594,6282507089,0.0625,0.03961,0
2595,6282507089,0.0625,0.03961,0
2596,6282507089,0.0625,0.03961,0
2597,6282507089,0.0625,0.03961,0
2598,6282507089,0.0625,0.03961,0
2599,6282507089,0.0625,0.03961,0
2600,6282507089,0.0625,0.03961,0
2601,6282507089,0.0625,0.03961,0
2602,6282507089,0.0625,0.03961,0
2603,6282507089,0.0625,0.03961,0
2604,6282507089,0.0625,0.03961,0
2605,6282507089,0.0625,0.03961,0
2606,6282507089,0.0625,0.03961,0
2607,6282507089,0.0625,0.03961,0
2608,6282507089,0.0625,0.03961,0
2609,6282507089,0.0625,0.03961,0
2610,6282507089,0.0625,0.03961,0
2611,6282507089,0.0625,0.03961,0
2612,6282507089,0.0625,0.03961,0
2613,6282507089,0.0625,0.03961,0
2614,6282507089,0.0625,0.03961,0
2615,6282507089,0.0625,0.03961,0
2616,6282507089,0.0625,0.03961,0
2617,6282507089,0.0625,0.03961,0
2618,6282507089,0.0625,0.03961,0
2619,6282507089,0.0625,0.03961,0
2620,6282507089,0.0625,0.03961,0
2621,6282507089,0.0625,0.03961,0
2622,6282507089,0.0625,0.03961,0
2623,6282507089,0.0625,0.03961,0
2624,6282507089,0.0625,0.03961,0
2625,6282507089,0.0625,0.03961,0
2626,6282507089,0.0625,0.03961,0
