hostId,cpuCapacity,freeCpu,memCapacity,freeMem
603116,0.5,4.93E-5,0.4995,0.11739
603117,0.5,0.02502,0.4995,0.278579
603122,0.5,6.626E-4,0.4995,0.040434
603126,0.5,0.07813,0.4995,0.00175
603128,0.5,1.129E-4,0.4995,0.002358
603129,0.5,0.08752,0.4995,0.00208
603131,0.5,0.0188,0.4995,0.180815
627966,0.5,0.037512,0.4995,0.297698
627967,0.5,0.05558,0.4995,0.003028
627969,0.5,0.00505,0.4995,0.056081
631942,0.5,2.8E-5,0.4995,0.0911396
631943,0.5,0.025612,0.4995,0.283155
631945,0.5,2.6E-5,0.4995,0.029891
631946,0.5,0.016141,0.4995,0.150854
631947,0.5,0.00199,0.4995,0.15706
631949,0.5,0.0013453,0.4995,0.003772
631951,0.5,0.0044,0.4995,0.3659
631952,0.5,0.02368,0.4995,0.002084
631954,0.5,0.08805,0.4995,0.00415
631956,0.5,0.0862526,0.4995,0.002326
634701,0.5,0.12985,0.4995,0.004828
634703,0.5,1.3E-6,0.4995,0.028026
634705,0.5,0.035536,0.4995,7.27E-4
634715,0.5,7.3E-5,0.4995,0.0756108
638197,0.5,0.025018,0.4995,0.002668
638204,0.5,0.03995,0.4995,0.24591
638207,0.5,0.0031873,0.4995,0.158196
638217,0.5,1.0E-5,0.4995,0.035721
638221,0.5,4.2E-5,0.4995,0.02647
638224,0.5,0.0013279,0.4995,0.021021
638230,0.5,0.03124,0.4995,0.258811
638232,0.5,0.033894,0.4995,0.258231
638341,0.5,0.03125,0.4995,0.25694
638347,0.5,0.006932,0.4995,0.143426
638356,0.5,6.1E-4,0.4995,0.140844
638368,0.5,5.0E-5,0.4995,0.008755
638375,0.5,0.03631,0.4995,0.309413
653445,0.5,5.68E-4,0.4995,0.001771
660235,0.5,6.0E-5,0.4995,0.116763
660255,0.5,0.076812,0.4995,0.002841
660258,0.5,0.0025732,0.4995,0.0106428
660262,0.5,1.7E-5,0.4995,0.001925
660265,0.5,0.012511,0.4995,0.174037
660272,0.5,0.004171,0.4995,6.05E-4
660385,0.5,6.113E-4,0.4995,0.032958
660389,0.5,1.2E-5,0.4995,0.00458
660394,0.5,0.0049526,0.4995,0.046708
660402,0.5,5.753E-4,0.4995,0.036687
660404,0.5,0.00304,0.4995,0.11907
660405,0.5,5.859E-4,0.4995,0.026385
660408,0.5,0.0018106,0.4995,8.45E-4
660410,0.5,0.01252,0.4995,0.17176
660411,0.5,0.07991,0.4995,0.001893
660766,0.5,0.1611,0.4995,0.011664
660769,0.5,5.859E-4,0.4995,0.030319
660798,0.5,5.693E-4,0.4995,0.004565
660917,0.5,0.001831,0.4995,0.13721
660921,0.5,0.021881,0.4995,0.13764
660927,0.5,5.6E-4,0.4995,0.031113
660950,0.5,0.01063,0.4995,0.183778
660951,0.5,1.0E-5,0.4995,0.040389
661091,0.5,0.05188,0.4995,0.432921
662191,0.5,0.0567673,0.4995,0.002157
662198,0.5,0.0145,0.4995,0.165223
662202,0.5,0.0055,0.4995,0.28996
662203,0.5,0.021881,0.4995,0.25836
662205,0.5,0.0612,0.4995,0.335932
662206,0.5,0.059413,0.4995,0.00439
662207,0.5,5.599E-4,0.4995,0.021032
662208,0.5,0.0,0.4995,0.24807
662210,0.5,5.0E-5,0.4995,0.060863
662211,0.5,0.0011203,0.4995,0.068741
662212,0.5,0.005081,0.4995,0.197902
662213,0.5,0.005532,0.4995,0.11527
662215,0.5,5.916E-4,0.4995,0.003487
662216,0.5,0.109429,0.1241,0.003568
662218,0.5,0.0012126,0.4995,0.0134428
662219,0.5,0.25,0.1241,0.0027
662221,0.5,0.0055,0.4995,0.181866
662226,0.5,0.0024753,0.4995,0.041327
662228,0.5,0.002022,0.4995,0.096793
662351,0.5,0.0337803,0.4995,0.264812
662363,0.5,6.1E-4,0.4995,0.14323
662367,0.5,0.0,0.4995,0.2549
662368,0.5,6.7E-4,0.4995,0.14422
662369,0.5,5.039E-4,0.4995,0.034249
662370,0.5,1.299E-4,0.4995,0.0201308
662371,0.5,0.021881,0.4995,0.25906
662377,0.5,0.008602,0.4995,0.123461
662378,0.5,0.0,0.4995,0.299177
662381,0.5,0.00237,0.4995,0.00156
662382,0.5,1.75E-5,0.4995,0.028689
662851,0.5,6.0E-5,0.4995,0.041502
665484,0.5,5.7E-5,0.4995,0.011079
672206,0.5,0.0012473,0.4995,0.002578
672213,0.5,0.01251,0.4995,0.256812
672217,0.5,0.021956,0.4995,0.225406
672218,0.5,1.42E-4,0.4995,0.211925
672220,0.5,1.03E-4,0.4995,0.02496
672222,0.5,0.0043426,0.4995,0.0427578
672224,0.5,0.0112226,0.4995,0.001349
672294,0.5,4.63E-5,0.4995,0.007022
672296,0.5,0.0813,0.4995,2.7E-4
672301,0.5,0.0043359,0.4995,0.021046
672303,0.5,2.0E-5,0.4995,0.015313
672316,0.5,7.0E-5,0.4995,0.121327
672399,0.5,0.0038,0.4995,0.201827
672408,0.5,2.0E-6,0.4995,0.0349538
672409,0.5,1.0E-5,0.4995,0.003377
672411,0.5,0.00497,0.4995,0.14517
672413,0.5,0.0657,0.4995,0.004567
672428,0.5,0.0112606,0.4995,9.23E-4
672429,0.5,0.182981,0.4995,0.00657
672430,0.5,0.0036886,0.4995,0.002182
672433,0.5,0.0356,0.4995,0.39445
672435,0.5,0.00628,0.4995,0.166182
672454,0.5,0.003116,0.4995,0.115912
672465,0.5,0.030532,0.4995,0.0014628
672496,0.5,0.0100946,0.4995,0.001528
672498,0.5,0.01245,0.4995,0.262572
672513,0.5,0.006932,0.4995,0.067524
672514,0.5,3.5E-6,0.4995,0.006765
672515,0.5,0.0412353,0.4995,0.2583619
672517,0.5,0.021242,0.4995,0.003008
672518,0.5,0.00294,0.4995,0.26342
672519,0.5,0.012524,0.4995,0.178371
672533,0.5,0.001872,0.4995,0.253568
681910,0.5,0.03882,0.4995,0.24537
681913,0.5,0.00421,0.4995,0.27391
682242,0.5,6.2E-5,0.4995,0.119076
682243,0.5,0.05627,0.4995,0.388809
682246,0.5,0.00808,0.4995,0.18765
682254,0.5,0.008741,0.4995,0.114924
682255,0.5,0.003078,0.4995,0.0573608
682256,0.5,0.0,0.4995,0.23916
682268,0.5,0.0562,0.4995,0.42809
682271,0.5,1.0E-5,0.4995,0.020333
682272,0.5,0.05564,0.4995,0.001802
682274,0.5,0.00104,0.4995,0.149018
