hostId,cpuCapacity,freeCpu,memCapacity,freeMem
422069,0.5,0.024443,0.4995,9.14E-4
422080,0.5,0.0157313,0.4995,0.1680958
422082,0.5,0.066771,0.4995,0.00356
422084,0.5,3.2E-5,0.4995,0.01917
422087,0.5,5.01E-4,0.4995,0.18456
422090,0.5,0.00549,0.4995,0.201763
422091,0.5,0.005532,0.4995,0.18622
450799,0.5,0.1486,0.4995,0.00556
485231,0.5,0.1486,0.4995,0.003897
485241,0.5,0.0038579,0.4995,0.0030978
486699,0.5,0.0,0.4995,0.227294
486702,0.5,0.011772,0.4995,0.132591
486703,0.5,6.382E-4,0.4995,0.0071878
486704,0.5,0.005551,0.4995,0.1195
486707,0.5,0.0562,0.4995,0.42809
486711,0.5,0.031264,0.4995,0.254776
486805,0.5,0.182981,0.4995,0.00657
486816,0.5,0.1486,0.4995,0.003897
486820,0.5,0.0050126,0.4995,0.028113
486821,0.5,0.00367,0.4995,0.06078
486826,0.5,5.153E-4,0.4995,0.037787
486827,0.5,0.001133,0.4995,0.0897778
486956,0.5,0.0049306,0.4995,0.001548
486957,0.5,0.0011553,0.4995,0.032104
486958,0.5,0.01252,0.4995,0.261153
486959,0.5,0.0212713,0.4995,0.174576
486961,0.5,0.031282,0.4995,0.265272
487295,0.5,0.006634,0.4995,0.21384
487385,0.5,1.04E-4,0.4995,0.053941
487386,0.5,0.00177,0.4995,0.23966
487390,0.5,3.13E-5,0.4995,0.055536
487391,0.5,0.029352,0.4995,0.387041
487397,0.5,0.006131,0.4995,0.229384
487399,0.5,7.069E-4,0.4995,0.011735
487402,0.5,0.009396,0.4995,0.161323
487403,0.5,0.0318633,0.4995,0.0026366
487404,0.5,0.0705,0.4995,0.00122
487407,0.5,0.092378,0.4995,4.09E-4
487411,0.5,0.073612,0.4995,0.002551
487414,0.5,0.0515873,0.4995,2.24E-4
487535,0.5,0.0049,0.4995,0.108403
487538,0.5,0.07384,0.4995,0.003573
487541,0.5,0.00367,0.4995,0.064815
487545,0.5,0.00812,0.4995,0.001733
487547,0.5,0.0012126,0.4995,0.0015208
487548,0.5,0.006172,0.4995,0.001654
495767,0.5,0.00476,0.4995,0.081862
514995,0.5,0.0087,0.4995,0.23444
514996,0.5,0.0056613,0.4995,0.155788
567335,0.5,0.006912,0.4995,0.110616
567336,0.5,0.08437,0.4995,0.0107
567341,0.5,0.03125,0.4995,0.23599
567345,0.5,0.0081273,0.4995,0.0718498
567348,0.5,6.0E-5,0.4995,0.007192
567376,0.5,0.011752,0.4995,0.173565
567377,0.5,0.005502,0.4995,0.242702
567382,0.5,0.003088,0.4995,0.195398
567383,0.5,0.006279,0.4995,0.140509
567596,0.5,5.62E-4,0.4995,5.62E-4
567597,0.5,0.0025612,0.4995,0.022821
567599,0.5,0.03186,0.4995,0.24062
567601,0.5,0.1875,0.4995,0.00545
567604,0.5,5.573E-4,0.4995,0.0177318
567608,0.5,0.00991,0.4995,0.25283
567610,0.5,0.00436,0.4995,0.110363
567611,0.5,0.011822,0.4995,0.173477
567616,0.5,0.0011563,0.4995,0.053914
567617,0.5,0.00626,0.4995,0.144367
567618,0.5,0.0,0.4995,0.08561
567624,0.5,0.17985,0.4995,0.010733
567626,0.5,0.0356,0.4995,0.33574
567748,0.5,0.00244,0.4995,0.242317
567752,0.5,0.116771,0.4995,0.005163
567756,0.5,0.123628,0.4995,0.004913
567757,0.5,0.0044259,0.4995,0.0127588
567763,0.5,2.1E-4,0.4995,0.21009
567764,0.5,0.003141,0.4995,0.192713
567769,0.5,0.12817,0.4995,0.00221
567777,0.5,0.0025432,0.4995,0.0014618
567780,0.5,0.17985,0.4995,0.010733
567782,0.5,0.01366,0.4995,1.82E-4
567783,0.5,0.03181,0.4995,0.23268
567790,0.5,6.12E-5,0.4995,0.017781
567902,0.5,0.0,0.4995,0.28667
567907,0.5,0.012492,0.4995,0.231503
567909,0.5,0.182981,0.4995,0.00657
567910,0.5,0.03129,0.4995,0.235262
567917,0.5,0.0,0.4995,0.24954
567920,0.5,4.771E-4,0.4995,0.024658
567924,0.5,0.005702,0.4995,0.141262
567929,0.5,0.0044353,0.4995,5.0E-4
567930,0.5,0.00374,0.4995,0.18148
567933,0.5,6.11E-4,0.4995,0.023126
568912,0.5,0.01187,0.4995,0.179443
595665,0.5,6.723E-4,0.4995,0.0019838
595666,0.5,5.9E-4,0.4995,0.061733
595672,0.5,0.00371,0.4995,0.112164
595677,0.5,5.98E-4,0.4995,3.54E-4
599601,0.5,0.182981,0.4995,0.00657
599604,0.5,0.006222,0.4995,0.0035398
599605,0.5,0.04188,0.4995,0.371809
599607,0.5,0.0055,0.4995,0.18643
599610,0.5,0.036134,0.4995,2.428E-4
599614,0.5,0.0,0.4995,0.250629
599619,0.5,0.001562,0.4995,0.081854
599620,0.5,0.0024959,0.4995,0.093586
599621,0.5,3.646E-4,0.4995,0.041165
599623,0.5,0.08302,0.4995,0.00391
599624,0.5,0.01501,0.4995,0.175963
599626,0.5,0.0056753,0.4995,3.64E-4
599632,0.5,5.879E-4,0.4995,0.020177
599637,0.5,0.005581,0.4995,0.185676
599756,0.5,4.226E-4,0.4995,0.024636
599757,0.5,0.02805,0.4995,0.00215
599758,0.5,0.0057,0.4995,0.075276
599760,0.5,6.02E-4,0.4995,0.026943
599763,0.5,0.17985,0.4995,0.010733
599764,0.5,0.003134,0.4995,0.105407
599765,0.5,0.060602,0.4995,0.320361
599770,0.5,0.00103,0.4995,0.310173
599788,0.5,0.0067746,0.4995,0.0017888
599792,0.5,0.075012,0.4995,0.007801
599793,0.5,6.1E-4,0.4995,0.219574
599794,0.5,4.12E-4,0.4995,0.077213
602943,0.5,0.004876,0.4995,0.203272
602945,0.5,0.007402,0.4995,0.002802
602946,0.5,0.026822,0.4995,0.003668
602948,0.5,0.12985,0.4995,0.004828
602949,0.5,0.176751,0.4995,0.01455
602951,0.5,0.0,0.4995,0.21639
602953,0.5,0.062512,0.4995,0.005875
602954,0.5,0.0045033,0.4995,0.065496
602955,0.5,0.031264,0.4995,0.350739
602962,0.5,0.03125,0.4995,0.23841
602971,0.5,0.02676,0.4995,7.91E-4
602972,0.5,5.313E-4,0.4995,0.023309
602973,0.5,5.722E-4,0.4995,0.023455
602974,0.5,0.1611,0.4995,0.011664
602978,0.5,0.0455,0.4995,0.00341
602979,0.5,1.41E-4,0.4995,0.107268
602980,0.5,0.17985,0.4995,0.010733
602981,0.5,0.00166,0.4995,0.003762
602982,0.5,0.002002,0.4995,0.13119
602985,0.5,0.0806493,0.4995,0.0069148
602987,0.5,0.0,0.4995,0.31676
603107,0.5,0.006272,0.4995,0.0017716
603108,0.5,0.038762,0.4995,0.315966
603109,0.5,0.071903,0.4995,0.006291
603110,0.5,0.0231,0.4995,0.224283
603111,0.5,0.076154,0.4995,0.005488
603115,0.5,6.1E-4,0.4995,0.340673
603116,0.5,5.493E-4,0.4995,0.039232
603117,0.5,5.983E-4,0.4995,0.006851
603122,0.5,0.071132,0.4995,2.8E-4
603126,0.5,5.37E-4,0.4995,0.0344848
603128,0.5,0.186102,0.4995,0.010733
603129,0.5,0.006802,0.4995,0.065753
603131,0.5,0.027542,0.4995,0.25913
627966,0.5,0.00485,0.4995,0.0443
627967,0.5,0.00199,0.4995,0.153764
627969,0.5,0.0700373,0.4995,0.0015288
631942,0.5,0.07352,0.4995,8.5E-4
631943,0.5,0.007104,0.4995,0.071027
631945,0.5,0.00174,0.4995,0.088426
631946,0.5,0.01251,0.4995,0.247483
631947,0.5,0.12939,0.4995,0.00221
631949,0.5,0.0030912,0.4995,0.001724
631951,0.5,0.005692,0.4995,0.145803
631952,0.5,0.0011553,0.4995,0.008086
631954,0.5,0.00756,0.4995,0.173582
631956,0.5,5.133E-4,0.4995,0.0319198
634701,0.5,0.17985,0.4995,0.010733
634703,0.5,0.0,0.4995,0.22305
